,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
265,2016-03-25 15:56:27,39818461,9441.0,2815.0,0,141539
266,2016-03-25 15:56:38,39960014,9474.0,2820.0,0,141553
267,2016-03-25 15:56:48,40121795,9512.0,2834.0,0,161781
268,2016-03-25 15:56:58,40316033,9558.0,2847.0,0,194238
269,2016-03-25 15:57:08,40440145,9587.0,2847.0,0,124112
270,2016-03-25 15:57:19,40600540,9625.0,2868.0,0,160395
271,2016-03-25 15:57:29,40747300,9660.0,2878.0,0,146760
272,2016-03-25 15:57:39,40908876,9699.0,2889.0,0,161576
273,2016-03-25 15:57:50,41107108,9746.0,2903.0,0,198232
274,2016-03-25 15:58:00,41199517,9767.0,2910.0,0,92409
275,2016-03-25 15:58:10,41349731,9803.0,2917.0,0,150214
276,2016-03-25 15:58:20,41502784,9840.0,2930.0,0,153053
277,2016-03-25 15:58:31,41662138,9877.0,2942.0,0,159354
278,2016-03-25 15:58:41,41836197,9918.0,2954.0,0,174059
279,2016-03-25 15:58:51,41982385,9954.0,2966.0,0,146188
280,2016-03-25 15:59:01,42164477,9997.0,2977.0,0,182092
281,2016-03-25 15:59:12,42311910,10031.0,2986.0,0,147433
282,2016-03-25 15:59:22,42438629,10061.0,2996.0,0,126719
283,2016-03-25 15:59:32,42554431,10089.0,3005.0,0,115802
284,2016-03-25 15:59:42,42715238,10127.0,3016.0,0,160807
285,2016-03-25 15:59:53,42897855,10170.0,3028.0,0,182617
286,2016-03-25 16:00:03,43058812,10208.0,3037.0,0,160957
287,2016-03-25 16:00:13,43218776,10246.0,3053.0,0,159964
288,2016-03-25 16:00:23,43337939,10274.0,3060.0,0,119163
289,2016-03-25 16:00:34,43491832,10311.0,3070.0,0,153893
290,2016-03-25 16:00:44,43612789,10340.0,3081.0,0,120957
291,2016-03-25 16:00:54,43794060,10383.0,3091.0,0,181271
292,2016-03-25 16:01:04,43886628,10405.0,3100.0,0,92568
