now,doc,size(MB),storageSize(MB),chunk
2016-03-25 15:53:23,37131787,8803,2620,0
2016-03-25 15:53:33,37317160,8847,2636,0
2016-03-25 15:53:44,37426366,8873,2646,0
2016-03-25 15:53:54,37557336,8904,2650,0
2016-03-25 15:54:04,37804830,8963,2671,0
2016-03-25 15:54:14,37907348,8987,2678,0
2016-03-25 15:54:25,38093149,9031,2690,0
2016-03-25 15:54:35,38212150,9059,2699,0
2016-03-25 15:54:45,38389904,9102,2710,0
2016-03-25 15:54:55,38548846,9139,2720,0
2016-03-25 15:55:06,38612306,9155,2724,0
2016-03-25 15:55:16,38825711,9205,2743,0
2016-03-25 15:55:26,38979546,9241,2754,0
2016-03-25 15:55:36,39102910,9271,2759,0
2016-03-25 15:55:47,39242303,9303,2771,0
2016-03-25 15:55:57,39396063,9340,2780,0
2016-03-25 15:56:07,39535001,9373,2791,0
2016-03-25 15:56:17,39676922,9407,2801,0
2016-03-25 15:56:27,39818461,9441,2815,0
2016-03-25 15:56:38,39960014,9474,2820,0
2016-03-25 15:56:48,40121795,9512,2834,0
2016-03-25 15:56:58,40316033,9558,2847,0
2016-03-25 15:57:08,40440145,9587,2847,0
2016-03-25 15:57:19,40600540,9625,2868,0
2016-03-25 15:57:29,40747300,9660,2878,0
2016-03-25 15:57:39,40908876,9699,2889,0
2016-03-25 15:57:50,41107108,9746,2903,0
2016-03-25 15:58:00,41199517,9767,2910,0
2016-03-25 15:58:10,41349731,9803,2917,0
2016-03-25 15:58:20,41502784,9840,2930,0
2016-03-25 15:58:31,41662138,9877,2942,0
2016-03-25 15:58:41,41836197,9918,2954,0
2016-03-25 15:58:51,41982385,9954,2966,0
2016-03-25 15:59:01,42164477,9997,2977,0
2016-03-25 15:59:12,42311910,10031,2986,0
2016-03-25 15:59:22,42438629,10061,2996,0
2016-03-25 15:59:32,42554431,10089,3005,0
2016-03-25 15:59:42,42715238,10127,3016,0
2016-03-25 15:59:53,42897855,10170,3028,0
2016-03-25 16:00:03,43058812,10208,3037,0
2016-03-25 16:00:13,43218776,10246,3053,0
2016-03-25 16:00:23,43337939,10274,3060,0
2016-03-25 16:00:34,43491832,10311,3070,0
2016-03-25 16:00:44,43612789,10340,3081,0
2016-03-25 16:00:54,43794060,10383,3091,0
2016-03-25 16:01:04,43886628,10405,3100,0
2016-03-25 16:01:15,44028932,10439,3109,0
2016-03-25 16:01:25,44251389,10491,3125,0
2016-03-25 16:01:35,44406251,10528,3137,0
2016-03-25 16:01:45,44560782,10565,3144,0
2016-03-25 16:01:56,44704877,10599,3158,0
2016-03-25 16:02:06,44822637,10626,3158,0
2016-03-25 16:02:16,44979129,10664,3176,0
2016-03-25 16:02:26,45128707,10699,3185,0
2016-03-25 16:02:36,45273244,10733,3199,0
2016-03-25 16:02:47,45368834,10756,3202,0
2016-03-25 16:02:57,45555640,10801,3220,0
2016-03-25 16:03:07,45699338,10834,3225,0
2016-03-25 16:03:17,45899984,10883,3241,0
2016-03-25 16:03:28,46028812,10912,3250,0
2016-03-25 16:03:38,46169685,10946,3260,0
2016-03-25 16:03:48,46352416,10989,3266,0
2016-03-25 16:03:58,46462282,11015,3278,0
2016-03-25 16:04:09,46600932,11048,3287,0
2016-03-25 16:04:19,46779470,11090,3303,0
2016-03-25 16:04:29,46932063,11127,3313,0
2016-03-25 16:04:39,47063034,11158,3320,0
2016-03-25 16:04:49,47209994,11192,3331,0
2016-03-25 16:05:00,47341754,11224,3340,0
2016-03-25 16:05:10,47522353,11267,3357,0
2016-03-25 16:05:20,47688722,11306,3368,0
2016-03-25 16:05:30,47822615,11338,3378,0
2016-03-25 16:05:41,47934564,11364,3378,0
2016-03-25 16:05:51,48080298,11399,3389,0
2016-03-25 16:06:01,48262090,11442,3405,0
2016-03-25 16:06:11,48384267,11471,3415,0
2016-03-25 16:06:22,48631776,11530,3431,0
2016-03-25 16:06:32,48753953,11559,3442,0
2016-03-25 16:06:42,48918129,11598,3456,0
2016-03-25 16:06:52,49049201,11629,3463,0
2016-03-25 16:07:03,49172076,11658,3472,0
2016-03-25 16:07:13,49346301,11699,3484,0
2016-03-25 16:07:23,49472854,11729,3493,0
2016-03-25 16:07:33,49662107,11774,3507,0
2016-03-25 16:07:44,49815867,11811,3514,0
2016-03-25 16:07:54,49954170,11843,3523,0
2016-03-25 16:08:04,50113339,11881,3539,0
2016-03-25 16:08:14,50281365,11921,3551,0
2016-03-25 16:08:24,50429298,11956,3556,0
2016-03-25 16:08:35,50553576,11985,3579,0
2016-03-25 16:08:45,50735357,12028,3586,0
2016-03-25 16:08:55,50877003,12062,3596,0
2016-03-25 16:09:05,51004959,12092,3605,0
2016-03-25 16:09:16,51163892,12130,3614,0
2016-03-25 16:09:26,51309724,12164,3623,0
2016-03-25 16:09:36,51463617,12201,3640,0
2016-03-25 16:09:46,51610377,12236,3647,0
2016-03-25 16:09:57,51755344,12270,3654,0
2016-03-25 16:10:07,51907477,12306,3667,0
2016-03-25 16:10:17,52037338,12337,3674,0
2016-03-25 16:10:27,52203941,12377,3688,0
2016-03-25 16:10:38,52331815,12407,3701,0
2016-03-25 16:10:48,52510367,12449,3711,0
2016-03-25 16:10:58,52643752,12481,3723,0
2016-03-25 16:11:08,52850955,12530,3735,0
2016-03-25 16:11:18,52979377,12561,3744,0
2016-03-25 16:11:29,53148191,12601,3751,0
2016-03-25 16:11:39,53295309,12636,3768,0
2016-03-25 16:11:49,53442087,12670,3774,0
2016-03-25 16:11:59,53576733,12702,3785,0
2016-03-25 16:12:10,53736980,12740,3797,0
2016-03-25 16:12:20,53878201,12773,3806,0
2016-03-25 16:12:30,54081640,12822,3818,0
2016-03-25 16:12:40,54173682,12844,3831,0
2016-03-25 16:12:51,54342482,12884,3841,0
2016-03-25 16:13:01,54439761,12907,3848,0
2016-03-25 16:13:11,54617297,12949,3855,0
2016-03-25 16:13:21,54796816,12992,3871,0
2016-03-25 16:13:32,54936343,13024,3883,0
2016-03-25 16:13:42,55062106,13054,3890,0
2016-03-25 16:13:52,55192982,13086,3896,0
2016-03-25 16:14:02,55370154,13127,3910,0
2016-03-25 16:14:13,55477314,13153,3917,0
2016-03-25 16:14:23,55627002,13188,3929,0
2016-03-25 16:14:33,55794451,13228,3943,0
2016-03-25 16:14:43,55947987,13264,3956,0
2016-03-25 16:14:54,56086460,13297,3964,0
2016-03-25 16:15:04,56246444,13335,3975,0
2016-03-25 16:15:14,56450019,13384,3989,0
2016-03-25 16:15:24,56594068,13417,3996,0
2016-03-25 16:15:35,56708740,13445,4001,0
2016-03-25 16:15:45,56862717,13481,4021,0
2016-03-25 16:15:55,56962657,13505,4024,0
